연도,구,ARS-ID,정류소명,노선수,X좌표,Y좌표
2020,종로구,1862,새마을금고,1,126.9965690016,37.5878406881
2020,종로구,1863,경진빌라,1,126.9579482257,37.6018640911
2020,종로구,1864,명륜시장.성대후문,1,126.9952305162,37.5887246101
2020,종로구,1865,완성빌라,1,126.9576665157,37.6033399708
2020,종로구,1866,양현관,1,126.9937685575,37.5897680031
2020,종로구,1868,상명대후문,1,126.9574633677,37.6040715802
2020,종로구,1869,샘미용실,1,126.9934084203,37.5902545716
2020,종로구,1870,산정빌라,1,126.9575782035,37.6052835831
2020,종로구,1872,문방구,1,126.9579809335,37.6061334517
2020,종로구,1873,마트앞,1,126.958756466,37.6066987064
2020,종로구,1874,국민은행.세검정지점,1,126.9608727063,37.6049541749
2020,종로구,1875,화정박물관,1,,
2020,종로구,1876,혜화역4번출구,3,127.0015538872,37.5835080381
2020,종로구,1877,방송통신대앞,2,127.0019926794,37.5786973612
2020,종로구,1878,서울대치과대학,1,126.997800962,37.5774082997
2020,종로구,1879,효제초교.연동교회.김마리아활동터,2,127.0022087811,37.5736413355
2020,종로구,1881,성균관대학교,1,126.9900035953,37.5884638684
2020,종로구,1882,독립문역,1,,
2020,종로구,1883,서울대치과대학,1,126.9978632209,37.5775727323
2020,종로구,1886,이화사거리,1,127.0020084833,37.5769483437
2020,종로구,1887,서울대학교병원현관.암병원현관,1,126.9981631637,37.5790872846
2020,종로구,1888,종각.공평유적전시관,2,126.9832427053,37.5715937879
2020,종로구,1889,조계사,1,126.9831364101,37.5736021088
2020,종로구,1902,대학로,1,127.0021204164,37.58189612
2020,종로구,1903,창경궁,1,126.9964163097,37.5791596347
2020,종로구,1904,창덕궁,1,126.9901776043,37.5775301708
2020,종로구,1905,인사동.북촌,1,126.9837977873,37.5758950223
2020,종로구,1906,경복궁.국립민속박물관,1,126.9795487018,37.579339181
2020,종로구,1907,세종문화회관,1,126.9769120216,37.5731388499
2020,종로구,1910,통인시장,1,126.9713315727,37.5791187605
2020,종로구,1911,세종문화회관,1,126.9770139456,37.5731558567
2020,종로구,1912,종각역,1,126.9828944171,37.5693799579
2020,종로구,1913,인사동.탑골공원,1,126.9888006413,37.5701155367
2020,종로구,1914,종묘.세운상가,1,126.9934997231,37.5703736241
2020,종로구,1915,광장시장,1,126.9996789008,37.5707521431
2020,종로구,1916,동묘.숭인동도깨비시장,1,127.0180439092,37.5734766013
2020,종로구,1917,서울풍물시장,1,127.0231780999,37.5733400255
2020,종로구,1918,청와대,2,126.9737600308,37.582684814
2020,중구,2001,남대문세무서.서울백병원,30,126.9875299251,37.5649848069
2020,중구,2002,서울백병원.국가인권위.안중근활동터,21,126.9878515151,37.5643504711
2020,중구,2003,서울역버스환승센터,4,126.9722570849,37.5551460158
2020,중구,2004,서울역버스환승센터,22,126.9725924801,37.5554029828
2020,중구,2005,서울역버스환승센터,28,126.9727238221,37.555388989
2020,중구,2006,서울역버스환승센터,28,126.9728547738,37.5554794133
2020,중구,2007,서울역버스환승센터.강우규의거터,13,126.9729402621,37.5554141603
2020,중구,2008,숭례문,12,126.9737783904,37.5586388574
2020,중구,2100,서울시청,12,126.9806320857,37.5661382638
2020,중구,2101,만리동고개,5,126.9626582054,37.551787064
2020,중구,2102,손기정체육공원입구,6,126.9662339013,37.5544459527
2020,중구,2103,"서울의료보건고등학교,서울역서부",6,126.9689026242,37.5558478973
2020,중구,2104,서울역서부,1,126.9691514463,37.556237644
2020,중구,2105,서울역서부,7,126.969293,37.555855
2020,중구,2106,중림동교차로,6,126.9691354395,37.5583836266
2020,중구,2107,종근당.충정로역,18,126.9645407963,37.5596488763
2020,중구,2108,한국경제신문사.서소문역사공원,4,126.9678680149,37.5602111497
2020,중구,2109,"한국경제신문사,서소문역사공원",6,126.9681135141,37.5606234736
2020,중구,2110,경찰청.동북아역사재단,16,126.9691267228,37.5630494858
2020,중구,2113,서대문경찰서.농협은행.유관순활동터,25,126.9677868059,37.5649062803
2020,중구,2116,염천교,6,126.97311408,37.5598696316
2020,중구,2117,숭례문,17,126.97335794,37.5584010617
2020,중구,2118,숭례문.한국일보,7,126.9737375955,37.5587713091
2020,중구,2120,후암삼거리,2,126.9759937564,37.5534055956
2020,중구,2121,숭례문,18,126.974362745,37.5587633765
2020,중구,2122,숭례문,19,126.9740436876,37.5584195299
2020,중구,2123,숭례문,5,126.9736279452,37.5580006528
2020,중구,2124,남대문시장악세사리전문상가,3,126.9759976615,37.5588723988
2020,중구,2125,숭례문남산방향,2,126.9756720863,37.5585581643
2020,중구,2126,남대문시장,5,126.9800597585,37.561191081
2020,중구,2127,북창동.남대문시장,24,126.978282,37.56123
2020,중구,2128,시청앞,14,126.97644367,37.562197167
2020,중구,2131,삼성본관앞,16,126.9759075283,37.5620517519
2020,중구,2132,시청앞,12,126.976148714,37.562764205
2020,중구,2133,서소문,6,126.9746522037,37.5631901447
2020,중구,2134,서소문,6,,
